,id,Name,Birth Date,Country of Origin,Hat,Hat Brand,Hat Colour,Glasses,Glasses Brand,Glasses Colour,Shirt,Shirt brand,Shirt colour,Jeans,Jeans brand,Jeans colour,Bag,Bag Brand,Bag Colour,Cane,Shoes,Shoes Brand,Shoes colour
0,1,Walter,29/06/1987,Japan,Bobble hat,The North Face,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Adidas,Brown
1,2,Wendy,16/08/1987,Brazil,Bobble hat,Carhartt,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Fendi,Brown,Wood,Casual Shoes,Jordan,Brown
2,3,Whitley,31/08/1987,Brazil,Bobble hat,Columbia,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,True Religion,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Vans,Brown
3,4,Wesley,03/09/1987,France,Bobble hat,Columbia,Red and white,Round Glasses,Oakley,Black,Long-sleeve,Ralph Lauren,Red and white stripes,Straight Leg Jeans,Guess,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,New Balance,Brown
4,5,Wendy,30/12/1987,Brazil,Bobble hat,Woolrich,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Chanel,Brown,Wood,Casual Shoes,Nike,Brown
5,6,Whitley,01/01/1987,Brazil,Bobble hat,Beanie Babies,Red and white,Round Glasses,Oakley,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Under Armour,Brown
6,7,Wade,02/12/1987,Brazil,Bobble hat,Carhartt,Red and white,Round Glasses,Prada,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,American Eagle Outfitters,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Adidas,Brown
7,8,Wanda,06/08/1987,Brazil,Bobble hat,Beanie Babies,Red and white,Round Glasses,Oakley,Black,Long-sleeve,H&M,Red and white stripes,Straight Leg Jeans,J Brand,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Under Armour,Brown
8,9,Winifred,29/09/1987,Brazil,Bobble hat,Carhartt,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Ralph Lauren,Red and white stripes,Straight Leg Jeans,American Eagle Outfitters,Blue,Messenger bag,Chanel,Brown,Wood,Casual Shoes,Under Armour,Brown
9,10,Wanda,23/09/1987,China,Bobble hat,Carhartt,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Tommy Hilfiger,Red and white stripes,Straight Leg Jeans,J Brand,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Jordan,Brown
10,11,Winston,30/09/1987,France,Bobble hat,Woolrich,Red and white,Round Glasses,Versace,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Louis Vuitton,Brown,Wood,Casual Shoes,Vans,Brown
11,12,Walter,06/10/1987,Japan,Bobble hat,Woolrich,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,J Brand,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Adidas,Brown
12,13,Wallace,30/09/1987,France,Bobble hat,Beanie Babies,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,American Eagle Outfitters,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Jordan,Brown
13,14,Wallace,18/07/1987,United Kingdom,Bobble hat,UGG,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,H&M,Red and white stripes,Straight Leg Jeans,Guess,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Adidas,Brown
14,15,Winona,04/03/1987,France,Bobble hat,Canada Goose,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,American Eagle Outfitters,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Puma,Brown
15,16,Winifred,23/04/1987,Australia,Bobble hat,Columbia,Red and white,Round Glasses,Oakley,Black,Long-sleeve,Calvin Klein,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Under Armour,Brown
16,17,Wren,12/01/1987,Australia,Bobble hat,Woolrich,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Levi's,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Puma,Brown
17,18,Wesley,23/11/1987,United States,Bobble hat,Woolrich,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Diesel,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Jordan,Brown
18,19,Wilhelm,16/07/1987,Australia,Bobble hat,Woolrich,Red and white,Round Glasses,Prada,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Under Armour,Brown
19,20,Walker,20/07/1987,Japan,Bobble hat,Carhartt,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Guess,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Vans,Brown
20,21,Wesley,12/05/1987,Germany,Bobble hat,Woolrich,Red and white,Round Glasses,Burberry,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Adidas,Brown
21,22,Wesley,04/02/1987,Japan,Bobble hat,Beanie Babies,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,American Eagle Outfitters,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Puma,Brown
22,23,Winona,30/06/1987,Japan,Bobble hat,Woolrich,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,H&M,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Adidas,Brown
23,24,Wanda,08/04/1987,United Kingdom,Bobble hat,UGG,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,American Eagle Outfitters,Blue,Messenger bag,Prada,Brown,Wood,Casual Shoes,Nike,Brown
24,25,Winona,08/09/1987,France,Bobble hat,UGG,Red and white,Round Glasses,Burberry,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,American Eagle Outfitters,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Adidas,Brown
25,26,Wesley,06/05/1987,Australia,Bobble hat,Canada Goose,Red and white,Round Glasses,Prada,Black,Long-sleeve,Lacoste,Red and white stripes,Straight Leg Jeans,J Brand,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Puma,Brown
26,27,Wallace,28/07/1987,United Kingdom,Bobble hat,Canada Goose,Red and white,Round Glasses,Prada,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Puma,Brown
27,28,Walter,23/08/1987,Australia,Bobble hat,Carhartt,Red and white,Round Glasses,Gucci,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Puma,Brown
28,29,Wendy,16/03/1987,Australia,Bobble hat,Columbia,Red and white,Round Glasses,Oakley,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,True Religion,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Adidas,Brown
29,30,Wayne,18/03/1987,Brazil,Bobble hat,Columbia,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,True Religion,Blue,Messenger bag,Fendi,Brown,Wood,Casual Shoes,Puma,Brown
30,31,Winona,30/06/1987,Brazil,Bobble hat,Woolrich,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,H&M,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Vans,Brown
31,32,Winston,07/05/1987,Australia,Bobble hat,Beanie Babies,Red and white,Round Glasses,Versace,Black,Long-sleeve,Lacoste,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Under Armour,Brown
